local,hora,nivel,cor,aviso,tooltip
Braga,09:00,2,#FADF4B,🟡 Amarelo,Braga às 09:00: 🟡 Amarelo
Braga,10:00,2,#FADF4B,🟡 Amarelo,Braga às 10:00: 🟡 Amarelo
Braga,11:00,2,#FADF4B,🟡 Amarelo,Braga às 11:00: 🟡 Amarelo
Braga,12:00,2,#FADF4B,🟡 Amarelo,Braga às 12:00: 🟡 Amarelo
Braga,13:00,2,#FADF4B,🟡 Amarelo,Braga às 13:00: 🟡 Amarelo
Braga,14:00,2,#FADF4B,🟡 Amarelo,Braga às 14:00: 🟡 Amarelo
Braga,15:00,2,#FADF4B,🟡 Amarelo,Braga às 15:00: 🟡 Amarelo
Braga,16:00,2,#FADF4B,🟡 Amarelo,Braga às 16:00: 🟡 Amarelo
Braga,17:00,2,#FADF4B,🟡 Amarelo,Braga às 17:00: 🟡 Amarelo
Braga,18:00,2,#FADF4B,🟡 Amarelo,Braga às 18:00: 🟡 Amarelo
Braga,19:00,2,#FADF4B,🟡 Amarelo,Braga às 19:00: 🟡 Amarelo
Braga,20:00,2,#FADF4B,🟡 Amarelo,Braga às 20:00: 🟡 Amarelo
Braga,21:00,2,#FADF4B,🟡 Amarelo,Braga às 21:00: 🟡 Amarelo
Braga,22:00,2,#FADF4B,🟡 Amarelo,Braga às 22:00: 🟡 Amarelo
Braga,23:00,2,#FADF4B,🟡 Amarelo,Braga às 23:00: 🟡 Amarelo
Bragança,00:00,NA,#C8C7BB,⚪ Sem informação,Bragança às 00:00: ⚪ Sem informação
Bragança,01:00,NA,#C8C7BB,⚪ Sem informação,Bragança às 01:00: ⚪ Sem informação
Bragança,02:00,NA,#C8C7BB,⚪ Sem informação,Bragança às 02:00: ⚪ Sem informação
Bragança,03:00,NA,#C8C7BB,⚪ Sem informação,Bragança às 03:00: ⚪ Sem informação
Bragança,04:00,NA,#C8C7BB,⚪ Sem informação,Bragança às 04:00: ⚪ Sem informação
Bragança,05:00,NA,#C8C7BB,⚪ Sem informação,Bragança às 05:00: ⚪ Sem informação
Bragança,06:00,1,#B9D153,🟢 Verde,Bragança às 06:00: 🟢 Verde
Bragança,07:00,1,#B9D153,🟢 Verde,Bragança às 07:00: 🟢 Verde
Bragança,08:00,1,#B9D153,🟢 Verde,Bragança às 08:00: 🟢 Verde
Bragança,09:00,2,#FADF4B,🟡 Amarelo,Bragança às 09:00: 🟡 Amarelo
Bragança,10:00,2,#FADF4B,🟡 Amarelo,Bragança às 10:00: 🟡 Amarelo
Bragança,11:00,2,#FADF4B,🟡 Amarelo,Bragança às 11:00: 🟡 Amarelo
Bragança,12:00,2,#FADF4B,🟡 Amarelo,Bragança às 12:00: 🟡 Amarelo
Bragança,13:00,2,#FADF4B,🟡 Amarelo,Bragança às 13:00: 🟡 Amarelo
Bragança,14:00,2,#FADF4B,🟡 Amarelo,Bragança às 14:00: 🟡 Amarelo
Bragança,15:00,2,#FADF4B,🟡 Amarelo,Bragança às 15:00: 🟡 Amarelo
Bragança,16:00,2,#FADF4B,🟡 Amarelo,Bragança às 16:00: 🟡 Amarelo
Bragança,17:00,2,#FADF4B,🟡 Amarelo,Bragança às 17:00: 🟡 Amarelo
Bragança,18:00,2,#FADF4B,🟡 Amarelo,Bragança às 18:00: 🟡 Amarelo
Bragança,19:00,2,#FADF4B,🟡 Amarelo,Bragança às 19:00: 🟡 Amarelo
Bragança,20:00,2,#FADF4B,🟡 Amarelo,Bragança às 20:00: 🟡 Amarelo
Bragança,21:00,2,#FADF4B,🟡 Amarelo,Bragança às 21:00: 🟡 Amarelo
Bragança,22:00,2,#FADF4B,🟡 Amarelo,Bragança às 22:00: 🟡 Amarelo
Bragança,23:00,2,#FADF4B,🟡 Amarelo,Bragança às 23:00: 🟡 Amarelo
Castelo Branco,00:00,NA,#C8C7BB,⚪ Sem informação,Castelo Branco às 00:00: ⚪ Sem informação
Castelo Branco,01:00,NA,#C8C7BB,⚪ Sem informação,Castelo Branco às 01:00: ⚪ Sem informação
Castelo Branco,02:00,NA,#C8C7BB,⚪ Sem informação,Castelo Branco às 02:00: ⚪ Sem informação
Castelo Branco,03:00,NA,#C8C7BB,⚪ Sem informação,Castelo Branco às 03:00: ⚪ Sem informação
Castelo Branco,04:00,NA,#C8C7BB,⚪ Sem informação,Castelo Branco às 04:00: ⚪ Sem informação
Castelo Branco,05:00,NA,#C8C7BB,⚪ Sem informação,Castelo Branco às 05:00: ⚪ Sem informação
Castelo Branco,06:00,1,#B9D153,🟢 Verde,Castelo Branco às 06:00: 🟢 Verde
Castelo Branco,07:00,1,#B9D153,🟢 Verde,Castelo Branco às 07:00: 🟢 Verde
Castelo Branco,08:00,1,#B9D153,🟢 Verde,Castelo Branco às 08:00: 🟢 Verde
Castelo Branco,09:00,2,#FADF4B,🟡 Amarelo,Castelo Branco às 09:00: 🟡 Amarelo
Castelo Branco,10:00,2,#FADF4B,🟡 Amarelo,Castelo Branco às 10:00: 🟡 Amarelo
Castelo Branco,11:00,2,#FADF4B,🟡 Amarelo,Castelo Branco às 11:00: 🟡 Amarelo
Castelo Branco,12:00,2,#FADF4B,🟡 Amarelo,Castelo Branco às 12:00: 🟡 Amarelo
Castelo Branco,13:00,2,#FADF4B,🟡 Amarelo,Castelo Branco às 13:00: 🟡 Amarelo
Castelo Branco,14:00,2,#FADF4B,🟡 Amarelo,Castelo Branco às 14:00: 🟡 Amarelo
Castelo Branco,15:00,2,#FADF4B,🟡 Amarelo,Castelo Branco às 15:00: 🟡 Amarelo
Castelo Branco,16:00,2,#FADF4B,🟡 Amarelo,Castelo Branco às 16:00: 🟡 Amarelo
Castelo Branco,17:00,2,#FADF4B,🟡 Amarelo,Castelo Branco às 17:00: 🟡 Amarelo
Castelo Branco,18:00,2,#FADF4B,🟡 Amarelo,Castelo Branco às 18:00: 🟡 Amarelo
Castelo Branco,19:00,2,#FADF4B,🟡 Amarelo,Castelo Branco às 19:00: 🟡 Amarelo
Castelo Branco,20:00,2,#FADF4B,🟡 Amarelo,Castelo Branco às 20:00: 🟡 Amarelo
Castelo Branco,21:00,2,#FADF4B,🟡 Amarelo,Castelo Branco às 21:00: 🟡 Amarelo
Castelo Branco,22:00,2,#FADF4B,🟡 Amarelo,Castelo Branco às 22:00: 🟡 Amarelo
Castelo Branco,23:00,2,#FADF4B,🟡 Amarelo,Castelo Branco às 23:00: 🟡 Amarelo
Coimbra,00:00,NA,#C8C7BB,⚪ Sem informação,Coimbra às 00:00: ⚪ Sem informação
Coimbra,01:00,NA,#C8C7BB,⚪ Sem informação,Coimbra às 01:00: ⚪ Sem informação
Coimbra,02:00,NA,#C8C7BB,⚪ Sem informação,Coimbra às 02:00: ⚪ Sem informação
Coimbra,03:00,NA,#C8C7BB,⚪ Sem informação,Coimbra às 03:00: ⚪ Sem informação
Coimbra,04:00,NA,#C8C7BB,⚪ Sem informação,Coimbra às 04:00: ⚪ Sem informação
Coimbra,05:00,NA,#C8C7BB,⚪ Sem informação,Coimbra às 05:00: ⚪ Sem informação
Coimbra,06:00,1,#B9D153,🟢 Verde,Coimbra às 06:00: 🟢 Verde
Coimbra,07:00,1,#B9D153,🟢 Verde,Coimbra às 07:00: 🟢 Verde
Coimbra,08:00,1,#B9D153,🟢 Verde,Coimbra às 08:00: 🟢 Verde
Coimbra,09:00,2,#FADF4B,🟡 Amarelo,Coimbra às 09:00: 🟡 Amarelo
Coimbra,10:00,2,#FADF4B,🟡 Amarelo,Coimbra às 10:00: 🟡 Amarelo
Coimbra,11:00,2,#FADF4B,🟡 Amarelo,Coimbra às 11:00: 🟡 Amarelo
Coimbra,12:00,2,#FADF4B,🟡 Amarelo,Coimbra às 12:00: 🟡 Amarelo
Coimbra,13:00,2,#FADF4B,🟡 Amarelo,Coimbra às 13:00: 🟡 Amarelo
Coimbra,14:00,2,#FADF4B,🟡 Amarelo,Coimbra às 14:00: 🟡 Amarelo
Coimbra,15:00,2,#FADF4B,🟡 Amarelo,Coimbra às 15:00: 🟡 Amarelo
Coimbra,16:00,2,#FADF4B,🟡 Amarelo,Coimbra às 16:00: 🟡 Amarelo
Coimbra,17:00,2,#FADF4B,🟡 Amarelo,Coimbra às 17:00: 🟡 Amarelo
Coimbra,18:00,2,#FADF4B,🟡 Amarelo,Coimbra às 18:00: 🟡 Amarelo
Coimbra,19:00,2,#FADF4B,🟡 Amarelo,Coimbra às 19:00: 🟡 Amarelo
Coimbra,20:00,2,#FADF4B,🟡 Amarelo,Coimbra às 20:00: 🟡 Amarelo
Coimbra,21:00,2,#FADF4B,🟡 Amarelo,Coimbra às 21:00: 🟡 Amarelo
Coimbra,22:00,2,#FADF4B,🟡 Amarelo,Coimbra às 22:00: 🟡 Amarelo
Coimbra,23:00,2,#FADF4B,🟡 Amarelo,Coimbra às 23:00: 🟡 Amarelo
Évora,00:00,NA,#C8C7BB,⚪ Sem informação,Évora às 00:00: ⚪ Sem informação
Évora,01:00,NA,#C8C7BB,⚪ Sem informação,Évora às 01:00: ⚪ Sem informação
Évora,02:00,NA,#C8C7BB,⚪ Sem informação,Évora às 02:00: ⚪ Sem informação
Évora,03:00,NA,#C8C7BB,⚪ Sem informação,Évora às 03:00: ⚪ Sem informação
Évora,04:00,NA,#C8C7BB,⚪ Sem informação,Évora às 04:00: ⚪ Sem informação
Évora,05:00,NA,#C8C7BB,⚪ Sem informação,Évora às 05:00: ⚪ Sem informação
Évora,06:00,1,#B9D153,🟢 Verde,Évora às 06:00: 🟢 Verde
Évora,07:00,1,#B9D153,🟢 Verde,Évora às 07:00: 🟢 Verde
Évora,08:00,1,#B9D153,🟢 Verde,Évora às 08:00: 🟢 Verde
Évora,09:00,2,#FADF4B,🟡 Amarelo,Évora às 09:00: 🟡 Amarelo
Évora,10:00,2,#FADF4B,🟡 Amarelo,Évora às 10:00: 🟡 Amarelo
Évora,11:00,2,#FADF4B,🟡 Amarelo,Évora às 11:00: 🟡 Amarelo
Évora,12:00,2,#FADF4B,🟡 Amarelo,Évora às 12:00: 🟡 Amarelo
Évora,13:00,2,#FADF4B,🟡 Amarelo,Évora às 13:00: 🟡 Amarelo
Évora,14:00,2,#FADF4B,🟡 Amarelo,Évora às 14:00: 🟡 Amarelo
Évora,15:00,2,#FADF4B,🟡 Amarelo,Évora às 15:00: 🟡 Amarelo
Évora,16:00,2,#FADF4B,🟡 Amarelo,Évora às 16:00: 🟡 Amarelo
Évora,17:00,2,#FADF4B,🟡 Amarelo,Évora às 17:00: 🟡 Amarelo
Évora,18:00,2,#FADF4B,🟡 Amarelo,Évora às 18:00: 🟡 Amarelo
Évora,19:00,2,#FADF4B,🟡 Amarelo,Évora às 19:00: 🟡 Amarelo
Évora,20:00,2,#FADF4B,🟡 Amarelo,Évora às 20:00: 🟡 Amarelo
Évora,21:00,2,#FADF4B,🟡 Amarelo,Évora às 21:00: 🟡 Amarelo
Évora,22:00,2,#FADF4B,🟡 Amarelo,Évora às 22:00: 🟡 Amarelo
Évora,23:00,2,#FADF4B,🟡 Amarelo,Évora às 23:00: 🟡 Amarelo
Faro,00:00,NA,#C8C7BB,⚪ Sem informação,Faro às 00:00: ⚪ Sem informação
Faro,01:00,NA,#C8C7BB,⚪ Sem informação,Faro às 01:00: ⚪ Sem informação
Faro,02:00,NA,#C8C7BB,⚪ Sem informação,Faro às 02:00: ⚪ Sem informação
Faro,03:00,NA,#C8C7BB,⚪ Sem informação,Faro às 03:00: ⚪ Sem informação
Faro,04:00,NA,#C8C7BB,⚪ Sem informação,Faro às 04:00: ⚪ Sem informação
Faro,05:00,NA,#C8C7BB,⚪ Sem informação,Faro às 05:00: ⚪ Sem informação
Faro,06:00,1,#B9D153,🟢 Verde,Faro às 06:00: 🟢 Verde
Faro,07:00,1,#B9D153,🟢 Verde,Faro às 07:00: 🟢 Verde
Faro,08:00,1,#B9D153,🟢 Verde,Faro às 08:00: 🟢 Verde
Faro,09:00,2,#FADF4B,🟡 Amarelo,Faro às 09:00: 🟡 Amarelo
Faro,10:00,2,#FADF4B,🟡 Amarelo,Faro às 10:00: 🟡 Amarelo
Faro,11:00,2,#FADF4B,🟡 Amarelo,Faro às 11:00: 🟡 Amarelo
Faro,12:00,2,#FADF4B,🟡 Amarelo,Faro às 12:00: 🟡 Amarelo
Faro,13:00,2,#FADF4B,🟡 Amarelo,Faro às 13:00: 🟡 Amarelo
Faro,14:00,2,#FADF4B,🟡 Amarelo,Faro às 14:00: 🟡 Amarelo
Faro,15:00,2,#FADF4B,🟡 Amarelo,Faro às 15:00: 🟡 Amarelo
Faro,16:00,2,#FADF4B,🟡 Amarelo,Faro às 16:00: 🟡 Amarelo
Faro,17:00,2,#FADF4B,🟡 Amarelo,Faro às 17:00: 🟡 Amarelo
Faro,18:00,2,#FADF4B,🟡 Amarelo,Faro às 18:00: 🟡 Amarelo
Faro,19:00,2,#FADF4B,🟡 Amarelo,Faro às 19:00: 🟡 Amarelo
Faro,20:00,2,#FADF4B,🟡 Amarelo,Faro às 20:00: 🟡 Amarelo
Faro,21:00,2,#FADF4B,🟡 Amarelo,Faro às 21:00: 🟡 Amarelo
Faro,22:00,2,#FADF4B,🟡 Amarelo,Faro às 22:00: 🟡 Amarelo
Faro,23:00,2,#FADF4B,🟡 Amarelo,Faro às 23:00: 🟡 Amarelo
Guarda,00:00,NA,#C8C7BB,⚪ Sem informação,Guarda às 00:00: ⚪ Sem informação
Guarda,01:00,NA,#C8C7BB,⚪ Sem informação,Guarda às 01:00: ⚪ Sem informação
Guarda,02:00,NA,#C8C7BB,⚪ Sem informação,Guarda às 02:00: ⚪ Sem informação
Guarda,03:00,NA,#C8C7BB,⚪ Sem informação,Guarda às 03:00: ⚪ Sem informação
Guarda,04:00,NA,#C8C7BB,⚪ Sem informação,Guarda às 04:00: ⚪ Sem informação
Guarda,05:00,NA,#C8C7BB,⚪ Sem informação,Guarda às 05:00: ⚪ Sem informação
Guarda,06:00,1,#B9D153,🟢 Verde,Guarda às 06:00: 🟢 Verde
Guarda,07:00,1,#B9D153,🟢 Verde,Guarda às 07:00: 🟢 Verde
Guarda,08:00,1,#B9D153,🟢 Verde,Guarda às 08:00: 🟢 Verde
Guarda,09:00,2,#FADF4B,🟡 Amarelo,Guarda às 09:00: 🟡 Amarelo
Guarda,10:00,2,#FADF4B,🟡 Amarelo,Guarda às 10:00: 🟡 Amarelo
Guarda,11:00,2,#FADF4B,🟡 Amarelo,Guarda às 11:00: 🟡 Amarelo
Guarda,12:00,2,#FADF4B,🟡 Amarelo,Guarda às 12:00: 🟡 Amarelo
